exp_no,e_ratio,temp,dose,time,L
0,0.000657895,15¡C,0.092,0,0.001
0,0.415131579,15¡C,0.092,543,0.631
0,0.599342105,15¡C,0.092,1086,0.911
0,0.826315789,15¡C,0.092,2715,1.256
0,0.944736842,15¡C,0.092,5429,1.436
0,0.992763158,15¡C,0.092,10858,1.509
0,0.994078947,15¡C,0.092,16287,1.511
1,0.953289474,170¡C,0,0,1.449
1,0.949342105,170¡C,0,10,1.443
1,0.948026316,170¡C,0,20,1.441
1,0.948684211,170¡C,0,40,1.442
1,0.946710526,170¡C,0,80,1.439
1,0.944736842,170¡C,0,160,1.436
1,0.942763158,170¡C,0,320,1.433
1,0.938815789,170¡C,0,640,1.427
1,0.930263158,170¡C,0,1280,1.414
1,0.914473684,170¡C,0,2560,1.39
1,0.8875,170¡C,0,5120,1.349
1,0.847368421,170¡C,0,10240,1.288
2,0.947368421,190¡C,0,0,1.44
2,0.945394737,190¡C,0,10,1.437
2,0.944078947,190¡C,0,20,1.435
2,0.944078947,190¡C,0,40,1.435
2,0.940131579,190¡C,0,80,1.429
2,0.934868421,190¡C,0,160,1.421
2,0.923026316,190¡C,0,320,1.403
2,0.906578947,190¡C,0,640,1.378
2,0.872368421,190¡C,0,1280,1.326
2,0.818421053,190¡C,0,2560,1.244
2,0.738815789,190¡C,0,5120,1.123
2,0.639473684,190¡C,0,10240,0.972
3,0.947368421,210¡C,0,0,1.44
3,0.938157895,210¡C,0,10,1.426
3,0.936184211,210¡C,0,20,1.423
3,0.927631579,210¡C,0,40,1.41
3,0.920394737,210¡C,0,80,1.399
3,0.897368421,210¡C,0,160,1.364
3,0.860526316,210¡C,0,320,1.308
3,0.800657895,210¡C,0,640,1.217
3,0.7125,210¡C,0,1280,1.083
3,0.597368421,210¡C,0,2560,0.908
3,0.461184211,210¡C,0,5120,0.701
3,0.330921053,210¡C,0,10240,0.503
4,0.940131579,230¡C,0,0,1.429
4,0.921052632,230¡C,0,10,1.4
4,0.909868421,230¡C,0,20,1.383
4,0.888815789,230¡C,0,40,1.351
4,0.849342105,230¡C,0,80,1.291
4,0.786184211,230¡C,0,160,1.195
4,0.694736842,230¡C,0,320,1.056
4,0.573026316,230¡C,0,640,0.871
4,0.433552632,230¡C,0,1280,0.659
4,0.301973684,230¡C,0,2560,0.459
4,0.178947368,230¡C,0,5120,0.272
4,0.095394737,230¡C,0,10240,0.145
5,0.911184211,250¡C,0,0,1.385
5,0.867105263,250¡C,0,10,1.318
5,0.831578947,250¡C,0,20,1.264
5,0.774342105,250¡C,0,40,1.177
5,0.6875,250¡C,0,80,1.045
5,0.569736842,250¡C,0,160,0.866
5,0.429605263,250¡C,0,320,0.653
5,0.290131579,250¡C,0,640,0.441
5,0.171052632,250¡C,0,1280,0.26
5,0.085526316,250¡C,0,2560,0.13
5,0.035526316,250¡C,0,5120,0.054
5,0.0125,250¡C,0,10240,0.019
6,0.531578947,300¡C,0,0,0.808
6,0.365789474,300¡C,0,10,0.556
6,0.286184211,300¡C,0,20,0.435
6,0.189473684,300¡C,0,40,0.288
6,0.104605263,300¡C,0,80,0.159
6,0.045394737,300¡C,0,160,0.069
6,0.015789474,300¡C,0,320,0.024
6,0.003947368,300¡C,0,640,0.006
6,0.000657895,300¡C,0,1280,0.001
6,0,300¡C,0,2560,0
6,0,300¡C,0,5120,0
6,0,300¡C,0,10240,0
7,0.041447368,350¡C,0,0,0.063
7,0.013815789,350¡C,0,10,0.021
7,0.006578947,350¡C,0,20,0.01
7,0.001973684,350¡C,0,40,0.003
7,0.000657895,350¡C,0,80,0.001
7,0,350¡C,0,160,0
7,0,350¡C,0,320,0
7,0,350¡C,0,640,0
7,0,350¡C,0,1280,0
7,0,350¡C,0,2560,0
7,0,350¡C,0,5120,0
7,0,350¡C,0,10240,0