Use,Lx/Tx,Lx/Tx Err,Temp_start,RampDuration_s,BetaPeriod_s,Temp_end,n/N_calc_from_DRCsatlevel
R1,0.03,0.00,300,1086,1086,275,0.01
R2,0.07,0.00,300,2172,2172,250,0.03
R3,0.15,0.00,300,3257,3257,225,0.06
R4,0.28,0.01,300,4343,4343,200,0.11
R5,0.43,0.01,300,5429,5429,175,0.18
R6,0.59,0.01,300,6515,6515,150,0.25
R7,0.74,0.02,300,7600,7600,125,0.31
R8,0.88,0.02,300,8686,8686,100,0.37
R9,1.03,0.02,300,9772,9772,75,0.43
R10,1.16,0.03,300,10858,10858,50,0.48
R11,1.33,0.03,300,11944,11944,25,0.55
R12,0.07,0.00,300,2172,2172,250,0.03
R13,0.59,0.01,300,6515,6515,150,0.25
R14,1.17,0.03,300,10858,10858,50,0.49