Use,Lx/Tx,Lx/Tx Err,Temp_start,Temp_end,RampDuration_s,BetaPeriod_s,EndTemperature,n/N_calc_from_DRCsatlevel
R1,0.05,0.00,300,275,1086,1086,275.00,0.032
R2,0.15,0.00,300,250,2171.55266,2171.55266,250,0.098
R3,0.39,0.01,300,225,3257.32899,3257.32899,225,0.257
R4,0.73,0.02,300,200,4343,4343,200,0.481
R5,1.01,0.02,300,175,5429,5429,175,0.667
R6,1.16,0.03,300,150,6514.65798,6514.65798,150,0.770
R7,1.25,0.03,300,125,7600,7600,125,0.824
R8,1.31,0.03,300,100,8686,8686,100,0.867
R9,1.36,0.03,300,75,9772,9772,75,0.898
R10,1.40,0.03,300,50,10858,10858,50,0.926
R11,1.44,0.03,300,25,11944,11944,25,0.951
R12,0.17,0.00,300,250,2171.55266,2171.55266,250,0.115
R13,1.16,0.03,300,150,6514.65798,6514.65798,150,0.766
R14,1.40,0.03,300,50,10858,10858,50,0.923